id,nombre
26,FIESTA DEL LÚPULO
25,DEUDA PÚBLICA
24,MEDIO AMBIENTE
23,RECURSOS NATURALES
22,CABALGATAS
21,PUBLICIDAD
20,PROHIBICIÓN CULTIVO DE TRANSGÉNICOS
19,CÓDIGO AMBIENTAL
18,TURISMO
17,LICITACIÓN PÚBLICA
16,RED DE GAS
15,BOMBEROS VOLUNTARIOS
14,SISTEMAS DE INFORMACIÓN
13,ALUMBRADO PÚBICO
12,CLOACAS
11,SISTEMA DE CONTRALOR
10,PRESUPUESTO
9,ADJUDICACIÓN VENTA DE LOTES O PARCELAS
8,BARRIO LUJÁN
7,AGUA CORRIENTE
6,SEGURIDAD VIAL
5,TRÁNSITO
4,EMERGENCIA HABITACIONAL
3,PIROTECNIA
2,HABILITACIÒN COMERCIAL
1,COMERCIO
